Address,Street,City,State,ZipCode,zpid,url,hasImage,status,soldPrice,beds,baths,area,latitude,longitude,isZillowOwned,soldDate,Type,lotArea,lotAreaUnits,taxAssessedValue,yearBuilt,livingArea,hoaFee,sunScore,buildFactor,climateFactor,electricityFactor,solarFactor,description,suburb,hasCooling,cooling,heating,parkingCapacity,parkingLocation,garageCapacity,basement,flooring,view,stories,porch,pricePerSquareFoot,roof,style,listDate,listPrice,walk_score,transit_score,bike_score
"827 Farragut St, Pittsburgh, PA 15206",827 Farragut St,Pittsburgh,PA,15206,11622636,https://www.zillow.com/homedetails/827-Farragut-St-Pittsburgh-PA-15206/11622636_zpid/,TRUE,SOLD,410000,4,3,2330,40.47019,-79.919624,FALSE,12/29/2021,SINGLE_FAMILY,3062.268,sqft,71500,1880,2330,0,92.41,80,6.06,2.91,3.44,"Located in the heart of Highland Park just four blocks from the Bryant Street business district, 827 Farragut Street is a tastefully renovated brick home with modern updates and original charm. Engineered hardwood floors, exposed original brick, central AC, and renovated bathrooms throughout are just some of the features gracing this property. The large handsomely renovated kitchen includes all stainless steel appliances and quartz countertops, with direct access to the backyard that provides a private oasis to relax in at the end of a busy day. Come see this beautiful brick renovation for yourself!",Highland Park,TRUE,"Central Air,Window A/C","Natural Gas,Forced Air",0,,NA,FALSE,"Hardwood,Tile",FALSE,3,NA,176,Asphalt,Other,10/14/2021,425000,73,47,92
"819 N Beatty St, Pittsburgh, PA 15206",819 N Beatty St,Pittsburgh,PA,15206,11622459,https://www.zillow.com/homedetails/819-N-Beatty-St-Pittsburgh-PA-15206/11622459_zpid/,TRUE,SOLD,213000,3,1,1232,40.4705,-79.92143,FALSE,12/27/2021,SINGLE_FAMILY,3327.984,sqft,57900,1911,1232,0,92.41,80,6.06,2.91,3.44,"This lovely home is located in the heart of Highland Park. Welcoming front porch is a great spot for outdoor enjoyment. Sip a cup of coffee/tea or a glass of wine while reading your book/ tablet or catch a conversation w/ your neighbors. Living room w/ a decoration fireplace opens to dining room, a flexible & spacious space for gatherings & entertaining. 2/F has 2 large bedrooms + a smaller room which can be used as study, nursery/exercise room; can be used as a walk in closet too. A full basement w/ some storage can be a future space for expansion. A detached garage is a plus. House is updated w/ newer windows, boiler & hot water tank. Easy access to Shadyside, Lawrenceville, Bloomfield & East Liberty, all the vibrant area w/ eateries, Trader Joe’s, Whole Food, Market District, etc. yet it’s situated in a quiet neighborhood. Walking distance to the Highland Park business district w/ many trendy restaurants, enjoy the nearby Highland Park w/ walking trails & the famous Pittsburgh Zoo.",Highland Park,TRUE,Window A/C,"Natural Gas,Hot Water",1,Detached,NA,FALSE,"Other,Vinyl,Wall to Wall,Carpet",FALSE,2,NA,173,Asphalt,,9/30/2021,238000,72,50,69
"1621 El Paso St, Pittsburgh, PA 15206",1621 El Paso St,Pittsburgh,PA,15206,11278164,https://www.zillow.com/homedetails/1621-El-Paso-St-Pittsburgh-PA-15206/11278164_zpid/,TRUE,SOLD,240000,2,2,1312,40.486057,-79.93078,FALSE,12/23/2021,SINGLE_FAMILY,2700.72,sqft,112000,1934,1312,0,75.61,63.2,6.06,2.91,3.44,"Charming Brick home located in highly desired Morningside area! Walking into the main door, you will find a coat closet and sitting area. Bright living living room, dinning room with access to the rear deck, that  opens up to the kitchen. The upper level offers two bedrooms, an office, 1 full bath.  The basement also provides a half bath, huge storage area, and nice laundry space.  1 car garage. This house has so much more to offer.",Stanton Heights,TRUE,Central Air,"Natural Gas,Forced Air",1,Attached,NA,FALSE,"Hardwood,Wall to Wall",FALSE,2,NA,183,Other,,11/11/2021,245000,46,46,42
"1410 N Highland Ave, Pittsburgh, PA 15206",1410 N Highland Ave,Pittsburgh,PA,15206,11620568,https://www.zillow.com/homedetails/1410-N-Highland-Ave-Pittsburgh-PA-15206/11620568_zpid/,TRUE,SOLD,457500,4,3,NA,40.476757,-79.91692,FALSE,12/22/2021,SINGLE_FAMILY,NA,NA,241900,1928,NA,0,85.21,72.8,6.06,2.91,3.44,"Location, Location, Location!  So close to the beautiful Highland Park.  Looking for a project to make this lovely home yours?  Then this is it.  Great bones and floor plan.  Four bedrooms and three full baths.   The 4th bedroom is quite large and and on the 3rd floor with a full bath.    Beautiful marble fireplace in the living room and spacious dining room.  Kitchen has nice space with a breakfast room.  Breakfast room could also work as a nice office space.  Detached two car garage and great patio with level back yard.",Highland Park,TRUE,"Central Air,Wall Unit(s)","Natural Gas,Hot Water",2,Detached,NA,FALSE,Hardwood,FALSE,2,NA,NA,Tile,Colonial,11/13/2021,475000,58,45,76
"6489 Centre Ave, Pittsburgh, PA 15206",6489 Centre Ave,Pittsburgh,PA,15206,11623608,https://www.zillow.com/homedetails/6489-Centre-Ave-Pittsburgh-PA-15206/11623608_zpid/,TRUE,SOLD,106700,3,1,1068,40.464287,-79.92078,FALSE,12/21/2021,SINGLE_FAMILY,0.5775,acres,44900,1930,1068,0,78.01,65.6,6.06,2.91,3.44,"LOCATION! LOCATION! LOCATION! Great investment opportunity in up and coming East Liberty neighborhood or first time home buyer willing to do renovations. This all brick home sits on a flat lot and features 3 bedrooms and 1 bath with covered front porch. Small flat yard and back porch. 1 off street parking space.  Walking distance to Home Depot, Farmers Market and Target.  Close to the desirable Bakery Square Community. Minutes to Shopping, Hospitals and Sporting Events.",East Liberty,NA,,Natural Gas,1,Off Street,NA,FALSE,Wall to Wall,FALSE,3,NA,100,,,11/20/2021,108000,90,67,89
"1845 Morningside Ave, Pittsburgh, PA 15206",1845 Morningside Ave,Pittsburgh,PA,15206,11277931,https://www.zillow.com/homedetails/1845-Morningside-Ave-Pittsburgh-PA-15206/11277931_zpid/,TRUE,SOLD,228500,2,2,930,40.48755,-79.92637,FALSE,12/17/2021,SINGLE_FAMILY,3602.412,sqft,58700,1895,930,0,77.21,64.8,6.06,2.91,3.44,"Welcome Home! This completely renovated 2 bedroom 2 full bathroom home in the sought-after Morningside Neighborhood has so much to offer. Oak hardwood floors throughout the first floor, exposed brick fireplaces in the living and master bedroom and tons of natural light give this such a cozy stylish living space. Thomasville Kitchen cabinets and stainless appliances in the kitchen with a two tiered island that seats four. The openness from the kitchen into the living room is perfect for entertaining. Continue the entertaining onto the covered side porch and into the extremely private backyard. The basement has been renovated and waterproofed as well with a full bathroom and separate laundry room. There is also plenty of room for workout equipment, storage, an office, continued entertaining, the options are endless. This home is conveniently located to Rts 8 and 28, Waterworks and Shadyside Shopping and is one block to the bus line.",Morningside,TRUE,Electric,"Natural Gas,Forced Air",0,On Street,NA,FALSE,Hardwood,FALSE,1,NA,246,Asphalt,,44424,265000,54,47,40
"1128 Heberton St, Pittsburgh, PA 15206",1128 Heberton St,Pittsburgh,PA,15206,11282704,https://www.zillow.com/homedetails/1128-Heberton-St-Pittsburgh-PA-15206/11282704_zpid/,TRUE,SOLD,835000,6,5,NA,40.473915,-79.914345,FALSE,12/17/2021,SINGLE_FAMILY,NA,NA,612000,1894,NA,0,65.21,52.8,6.06,2.91,3.44,"Unique, elegant property located in desirable Highland Park.   This home, built in 1894, features  an excellent blend of original features - high ceilings, original moldings  and built ins- along with the updates  that today's buyer is seeking - new kitchen with high-end stainless appliances,  open to family room with fireplace, refinished hardwood floors  in double living room and dining room, master suite with walk-in closet and new bath, 2 additional bedrooms (BR 3 used in the past as a den) and new hall bath, third floor offers 3 additional rooms of irrecgular shape, closets and full bath with claw foot tub.  Incredible windows throughout provide an abundance of natural light,  rear of family room provides sliding doors leading to rear deck, landscaped yard rear yard and garage.",Highland Park,TRUE,"Central Air,Other","Natural Gas,Hot Water",2,"Detached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,NA,NA,Slate,Victorian,11/12/2021,899000,54,46,66
"1625 El Paso St, Pittsburgh, PA 15206",1625 El Paso St,Pittsburgh,PA,15206,11278166,https://www.zillow.com/homedetails/1625-El-Paso-St-Pittsburgh-PA-15206/11278166_zpid/,TRUE,SOLD,300000,3,2,1727,40.486176,-79.930626,FALSE,12/17/2021,SINGLE_FAMILY,3001.284,sqft,122100,1950,1727,0,90.81,78.4,6.06,2.91,3.44,"Charming brick home in best hilltop Morningside location! This is a quiet and secluded part of the neighborhood and allows for great views. A cute front porch welcomes you thru the attractive front door past a convenient half bath into a large living room. This home has hardwoods throughout. Off of the living space is an exquisite East facing sunroom that delights in all seasons. Opposite of the sunroom is the dining space which leads into the spacious kitchen. There is plenty of room for a kitchen table and chairs. The back door takes you out to a partially fenced and level grassy lot. There is access to a convenient back alley. Upstairs you will find three bedrooms, a bonus room and an updated hall bath. AND the icing on the cake is the one car integral garage that leads you to a squeaky clean, large and totally usable basement. This home is move in ready and awaits your personal style.",Stanton Heights,TRUE,Central Air,"Natural Gas,Forced Air",2,"Garage,Off Street",NA,FALSE,"Ceramic Tile,Hardwood",FALSE,2,NA,174,Composition,,10/22/2021,329000,46,46,42
"5445 Avondale Pl, Pittsburgh, PA 15206",5445 Avondale Pl,Pittsburgh,PA,15206,11620600,https://www.zillow.com/homedetails/5445-Avondale-Pl-Pittsburgh-PA-15206/11620600_zpid/,TRUE,SOLD,435000,4,3,1950,40.474533,-79.92867,FALSE,12/17/2021,SINGLE_FAMILY,2787.84,sqft,317900,1915,1950,0,72.41,60,6.06,2.91,3.44,"Desirable Highland Park brick home uniquely updated throughout! Welcoming front porch. Large entryway with grand staircase is a show stopper. Open living room/dining room. Old world charm with great built-in cabinets, wood floors, and a box beam ceiling in the dining room. Updated kitchen with stainless appliances, beautiful glass tile accent wall & backsplash, tons of storage. First floor powder room. Second floor boasts three large bedrooms, each with decorative fireplaces, closets space and neutral colors. Primary bedroom takes over the third floor. Expansive closet, beautiful bathroom, and lots of beautiful finishing touches.  Walk to Highland Park trails, playground and Pittsburgh Zoo! Close to Bryant Street restaurants and Penn Ave + Shadyside shopping! Convenient must see!",Morningside,TRUE,Central Air,"Natural Gas,Forced Air",0,On Street,NA,FALSE,"Area Rug,Ceramic Tile,Hardwood",FALSE,3,NA,223,Asphalt,Colonial,9/13/2021,479900,51,47,39
"1831 Chislett St, Pittsburgh, PA 15206",1831 Chislett St,Pittsburgh,PA,15206,11278347,https://www.zillow.com/homedetails/1831-Chislett-St-Pittsburgh-PA-15206/11278347_zpid/,TRUE,SOLD,272250,3,1,NA,40.486237,-79.92515,FALSE,12/17/2021,SINGLE_FAMILY,NA,NA,94700,1932,NA,0,70.01,57.6,6.06,2.91,3.44,"ALWAYS ONE OF THE CUTEST HOMES ON CHISLETT STREET...THIS THREE BEDROOM COLONIAL WAS GUTTED ON THE FIRST AND SECOND FLOORS TO THE STUDS IN 2006 AND LOVINGLY REMODELED WITH UPDATED KITCHEN AND BATH, ELECTRICAL, INSULATION, AND A GAS FIREPLACE.  KITCHEN IS FULLY EQUIPPED WITH APPLIANCES AND OFFERS SO MUCH CABINET SPACE.  LIVINGROOM AND DININGROOM ARE SPACIOUS AND BRIGHT AND ARE ACCENTED BY BEAUTIFUL WOOD FLOORS.  THREE NICE SIZE BEDROOMS PLUS THE HUGE FINISHED ATTIC THAT HAD VERSATILITY TO BE USED AS A BEDROOM OR FAMILYROOM OR OFFICE.  TWO CAR GARAGE WITH UPDATED DOORS IS A GREAT ASSET AS IS THE PATIO AND EASILY MANAGED BACKYARD.  INVITING FRONT PORCH. OVER THE YEARS THE SIDING AND WINDOWS WERE UPDATED.  THIS ONE IS SIMPLY MOVE IN.  CHARMING HOME IN A NEIGHBORHOOD WITH ITS OWN PARKS, RESTAURANTS, STORES, AND PUBLIC TRANSPORTATION PLUS THE ZOO IS MINUTES AWAY.",Morningside,TRUE,Central Air,"Natural Gas,Forced Air",2,"Detached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,NA,NA,Asphalt,Colonial,11/11/2021,275000,55,47,62
"6513 Stanton Ave, Pittsburgh, PA 15206",6513 Stanton Ave,Pittsburgh,PA,15206,11284172,https://www.zillow.com/homedetails/6513-Stanton-Ave-Pittsburgh-PA-15206/11284172_zpid/,TRUE,SOLD,255000,4,2,2139,40.47186,-79.9116,FALSE,12/15/2021,SINGLE_FAMILY,3911.688,sqft,130000,1927,2139,0,79.61,67.2,6.06,2.91,3.44,"Great opportunity in Highland Park one block from the entrance to the Park. Take advantage of everything the park has to offer: tennis courts, walking trails, Carnegie Lake, the swimming pool, sand volleyball courts, dog park and the reservoir.  Enjoy the large, private porch with unobstructed east facing views. The living room has hardwood floors and a decorative fireplace and mantel. The galley kitchen features sliding glass doors to the back patio and multi tiered backyard. The basement has ample storage, a finished family room, full bathroom and laundry/utility room. The second floor has a large main bedroom, two additional bedrooms, and one full bathroom. There are hardwood floors under the existing carpet. The third floor is a large open space that could be a fourth bedroom or private office.  The home is less then one mile from the East Liberty/Shadyside corridor home to Target, Whole Foods, Trader Joe’s, Bakery Square and Highland Avenue’s restaurant row.",Highland Park,TRUE,Window A/C,Natural Gas,0,On Street,NA,FALSE,"Hardwood,Tile,Wall to Wall",FALSE,3,NA,119,Asphalt,Other,9/17/2021,289000,21,43,26
"932 Morningside Ave, Pittsburgh, PA 15206",932 Morningside Ave,Pittsburgh,PA,15206,11620235,https://www.zillow.com/homedetails/932-Morningside-Ave-Pittsburgh-PA-15206/11620235_zpid/,TRUE,SOLD,235000,3,1,1200,40.4762,-79.9315,FALSE,12/15/2021,SINGLE_FAMILY,2500.344,sqft,53100,1939,1200,0,75.61,63.2,6.06,2.91,3.44,"This adorable three bedroom, one bath bungalow on a corner lot has been updated and is just waiting for you to move right in! Enter from the quaint and cozy front porch and into the freshly-painted interior that really brightens up the space! There is all new flooring throughout! The galley-style kitchen comes with ample cabinetry and modern appliances! There's a two-car detached garage with additional room on top that could make the perfect art studio. There is plenty of space for storage in the clean basement. This home is conveniently located on the bus route and is in walking distance to the other nearby neighborhoods. Close proximity to the many surrounding hospitals and universities.",Morningside,TRUE,Window A/C,"Natural Gas,Hot Water",2,Detached,NA,FALSE,"Other,Wall to Wall,Carpet",FALSE,2,NA,196,Asphalt,,44501,220000,37,47,49
"6336 Stanton Ave, Pittsburgh, PA 15206",6336 Stanton Ave,Pittsburgh,PA,15206,11284250,https://www.zillow.com/homedetails/6336-Stanton-Ave-Pittsburgh-PA-15206/11284250_zpid/,TRUE,SOLD,202500,3,1,2100,40.468475,-79.915436,FALSE,12/13/2021,SINGLE_FAMILY,4484,sqft,112500,1923,2100,0,92.41,80,6.06,2.91,3.44,"Spacious Highland Park home, the additional 19X16 room on the third floor offers the possibility of a fourth bedroom, game room or home office. Nice front porch for summer enjoyment. This property features off street parking in a long driveway that leads to a back yard. Spacious basement for laundry, storage and hobbies. Enjoy everything Highland Park offers, Tennis Courts, Community Gardens, Swimming Pool, Zoo and more. Near to Public Transportation.",Highland Park,TRUE,"Central Air,Electric","Natural Gas,Forced Air",0,Off Street,NA,FALSE,"Ceramic Tile,Other,Wall to Wall,Carpet",FALSE,3,NA,96,Composition,Other,44411,249000,67,49,68
"221 N Graham St, Pittsburgh, PA 15206",221 N Graham St,Pittsburgh,PA,15206,11520358,https://www.zillow.com/homedetails/221-N-Graham-St-Pittsburgh-PA-15206/11520358_zpid/,TRUE,SOLD,169975,4,1,1542,40.465946,-79.93471,FALSE,12/13/2021,SINGLE_FAMILY,2252.052,sqft,50400,1915,1542,0,70.81,58.4,6.06,2.91,3.44,"Spacious 3 story home with tons of potential and located close to the Penn Avenue corridor. Large rooms, high ceilings and an abundance of natural light. First floor laundy room next to kitchen. Bonus finished 3rd floor that can be used at an additional room, closet or office. Private level yard. With some updates and TLC this home is a gem!",Garfield,TRUE,Central Air,,2,On Street,NA,FALSE,"Vinyl,Wall to Wall",FALSE,3,NA,110,,,9/17/2021,169975,87,63,67
